Category	Product Name	Price	URL
Antivirus	Kaspersky TotalSecurity		https://www.primelicense.com/en-gb/antivirus/kaspersky-total-security-1242
Antivirus	Mcafee TotalProtection		https://www.primelicense.com/en-gb/antivirus/mcafee-total-protection-1223
Antivirus	Symantec Norton 360		https://www.primelicense.com/en-gb/antivirus/360-symantec-norton-1234
Antivirus	Kaspersky Anti-Virus		https://www.primelicense.com/en-gb/antivirus/kaspersky-anti-virus-1238
Antivirus	BitDefender Total Security		https://www.primelicense.com/en-gb/antivirus/bitdefender-total-security-1209
Antivirus	Kaspersky Premium		https://www.primelicense.com/en-gb/antivirus/kaspersky-premium-1248
Antivirus	Kaspersky Plus		https://www.primelicense.com/en-gb/antivirus/kaspersky-plus-1247
Antivirus	Kaspersky Internet Security		https://www.primelicense.com/en-gb/antivirus/kaspersky-internet-security-1241
Antivirus	ESET NOD32 Antivirus		https://www.primelicense.com/en-gb/antivirus/eset-nod32-antivirus-1235
Bundles	Adobe Acrobat + Office Professional Plus 2021		https://www.primelicense.com/en-gb/bundles/adobe-acrobat-office-2021-professional-plus-1420
Multimedia	Adobe Creative Cloud		https://www.primelicense.com/en-gb/multimedia/adobe-creative-cloud-1371
Multimedia	Adobe Photography Plan		https://www.primelicense.com/en-gb/multimedia/adobe-photography-plan-1376
Multimedia	Affinity Universal License		https://www.primelicense.com/en-gb/multimedia/affinity-v1-universal-licence-1492
Multimedia	Adobe Premiere Elements 2025		https://www.primelicense.com/en-gb/multimedia/2025-adobe-premiere-elements-1373
Multimedia	Adobe Acrobat Pro 2020		https://www.primelicense.com/en-gb/multimedia/adobe-acrobat-2020-dc-1338
Multimedia	Adobe Acrobat Pro 2019		https://www.primelicense.com/en-gb/multimedia/adobe-acrobat-2019-pro-1411
Multimedia	Adobe Photography Plan - 1TB Cloud		https://www.primelicense.com/en-gb/multimedia/adobe-photography-plan-1TB-1376
Multimedia	Adobe Photoshop Elements 2026		https://www.primelicense.com/en-gb/multimedia/adobe-photoshop-2026-elements-1372
Multimedia	Adobe Creative Cloud All Apps - Educational		https://www.primelicense.com/en-gb/multimedia/adobe-creative-cloud-all-apps-educational-1437
Multimedia	Adobe Photoshop		https://www.primelicense.com/en-gb/multimedia/adobe-photoshop-1395
Multimedia	CorelDraw Standard Suite 2021 Professional		https://www.primelicense.com/en-gb/multimedia/coreldraw-standard-suite-2021-professional-1191
Multimedia	Adobe Premiere Elements 2026		https://www.primelicense.com/en-gb/multimedia/adobe-premiere-2026-elements-1373
Office	Microsoft 365 Personal	£54	https://www.primelicense.com/en-gb/office/microsoft-365-personal-1160
